Run,Strategy,DataType,BTCChange%,PortfolioChange%
36,BollingerBands,Noise6,6.6795,26.9342
37,SimpleMomentum,Normal,7.0024,0.0000
37,BollingerBands,Normal,7.0024,0.3841
37,SimpleMomentum,Noise3,-4.5112,8.3643
37,BollingerBands,Noise3,-4.5112,0.0000
37,SimpleMomentum,Noise6,-0.6376,20.1583
37,BollingerBands,Noise6,-0.6376,41.5521
38,SimpleMomentum,Normal,0.2234,2.8497
38,BollingerBands,Normal,0.2234,-4.2186
38,SimpleMomentum,Noise3,1.8800,11.4663
38,BollingerBands,Noise3,1.8800,44.7234
38,SimpleMomentum,Noise6,-7.6378,17.9058
38,BollingerBands,Noise6,-7.6378,46.0590
39,SimpleMomentum,Normal,-4.2861,-0.3899
39,BollingerBands,Normal,-4.2861,-3.7481
39,SimpleMomentum,Noise3,0.3846,7.2836
39,BollingerBands,Noise3,0.3846,77.6975
39,SimpleMomentum,Noise6,-6.6028,18.2577
39,BollingerBands,Noise6,-6.6028,62.4390
40,SimpleMomentum,Normal,0.2936,0.2268
40,BollingerBands,Normal,0.2936,-0.0353
40,SimpleMomentum,Noise3,-4.8515,8.3986
40,BollingerBands,Noise3,-4.8515,20.0827
40,SimpleMomentum,Noise6,-3.0806,13.9178
40,BollingerBands,Noise6,-3.0806,13.5850
41,SimpleMomentum,Normal,0.2179,0.2572
41,BollingerBands,Normal,0.2179,0.1119
41,SimpleMomentum,Noise3,1.6050,11.3528
41,BollingerBands,Noise3,1.6050,22.7842
41,SimpleMomentum,Noise6,-1.0511,13.6738
41,BollingerBands,Noise6,-1.0511,40.6792
42,SimpleMomentum,Normal,3.8041,0.0000
42,BollingerBands,Normal,3.8041,0.3510
42,SimpleMomentum,Noise3,14.8477,11.1569
42,BollingerBands,Noise3,14.8477,28.7222
42,SimpleMomentum,Noise6,10.8714,23.5273
42,BollingerBands,Noise6,10.8714,81.2401
43,SimpleMomentum,Normal,2.3129,0.0000
43,BollingerBands,Normal,2.3129,1.3485
43,SimpleMomentum,Noise3,-4.8150,8.0127
43,BollingerBands,Noise3,-4.8150,24.5228
43,SimpleMomentum,Noise6,4.9452,23.4238
43,BollingerBands,Noise6,4.9452,137.2573
44,SimpleMomentum,Normal,4.5077,0.0000
44,BollingerBands,Normal,4.5077,1.5096
44,SimpleMomentum,Noise3,5.8092,14.3040
44,BollingerBands,Noise3,5.8092,9.6321
44,SimpleMomentum,Noise6,4.1881,25.5167
44,BollingerBands,Noise6,4.1881,138.9851
45,SimpleMomentum,Normal,-2.8609,0.0918
45,BollingerBands,Normal,-2.8609,3.2823
45,SimpleMomentum,Noise3,3.7654,8.0531
45,BollingerBands,Noise3,3.7654,17.8214
45,SimpleMomentum,Noise6,0.0302,16.2223
45,BollingerBands,Noise6,0.0302,0.0000
46,SimpleMomentum,Normal,9.2415,0.0000
46,BollingerBands,Normal,9.2415,0.1566
46,SimpleMomentum,Noise3,18.7931,15.3026
46,BollingerBands,Noise3,18.7931,0.0000
46,SimpleMomentum,Noise6,-0.3138,18.9903
46,BollingerBands,Noise6,-0.3138,41.5521
47,SimpleMomentum,Normal,-5.9907,0.1173
47,BollingerBands,Normal,-5.9907,-3.7481
47,SimpleMomentum,Noise3,-6.2488,8.9505
47,BollingerBands,Noise3,-6.2488,57.1829
47,SimpleMomentum,Noise6,-11.2962,12.3492
47,BollingerBands,Noise6,-11.2962,61.8748
48,SimpleMomentum,Normal,4.5077,0.0000
48,BollingerBands,Normal,4.5077,1.5096
48,SimpleMomentum,Noise3,5.8092,14.3040
48,BollingerBands,Noise3,5.8092,9.6321
48,SimpleMomentum,Noise6,4.1881,25.5167
48,BollingerBands,Noise6,4.1881,138.9851
49,SimpleMomentum,Normal,5.2084,0.5241
49,BollingerBands,Normal,5.2084,-0.0073
49,SimpleMomentum,Noise3,9.0496,14.8448
49,BollingerBands,Noise3,9.0496,20.0827
49,SimpleMomentum,Noise6,-8.0489,11.6235
49,BollingerBands,Noise6,-8.0489,13.5850
50,SimpleMomentum,Normal,0.2234,2.8497
50,BollingerBands,Normal,0.2234,-4.2186
